age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,duration,y
23,blue-collar,married,tertiary,no,272.0,no,no,cellular,4,-1,0,unknown,95.0,no
65,services,married,tertiary,no,1299.0,yes,no,unknown,4,-1,0,unknown,298.0,no
58,student,married,tertiary,no,2222.0,no,no,unknown,3,-1,0,other,19.0,no
45,blue-collar,single,secondary,no,3167.0,no,no,cellular,3,60,1,unknown,206.0,no
44,admin.,married,secondary,no,3082.0,no,no,cellular,4,-1,1,other,37.0,no
71,management,married,secondary,no,1927.0,no,yes,cellular,3,30,0,unknown,168.0,no
23,student,married,primary,no,1500.0,yes,no,cellular,4,-1,3,unknown,139.0,no
61,services,divorced,tertiary,no,816.0,yes,no,cellular,4,-1,0,unknown,238.0,no
30,services,married,secondary,no,954.0,no,no,unknown,2,-1,0,unknown,220.0,no
23,housemaid,married,secondary,no,-5.0,no,no,unknown,5,-1,1,success,319.0,no
50,blue-collar,married,secondary,no,629.0,no,yes,cellular,3,-1,0,success,205.0,no
78,retired,married,primary,no,2037.0,yes,no,unknown,4,-1,0,unknown,401.0,no
63,blue-collar,single,tertiary,no,4173.0,yes,no,cellular,1,60,0,unknown,101.0,no
65,services,single,secondary,no,1130.0,yes,no,cellular,4,30,0,other,300.0,no
62,blue-collar,married,primary,no,-54.0,yes,no,telephone,4,-1,0,success,236.0,no
66,blue-collar,divorced,secondary,no,3145.0,yes,no,cellular,2,-1,1,other,133.0,no
49,management,married,tertiary,no,-500.0,yes,no,telephone,5,-1,1,unknown,297.0,no
25,management,single,primary,no,3278.0,no,no,cellular,5,-1,0,unknown,380.0,no
70,self-employed,married,secondary,no,-500.0,no,no,cellular,3,-1,0,other,118.0,no
45,management,married,tertiary,no,2583.0,yes,no,telephone,5,-1,0,unknown,136.0,no
49,technician,single,tertiary,no,543.0,no,yes,cellular,3,-1,0,unknown,61.0,no
40,technician,divorced,secondary,no,1978.0,yes,no,cellular,3,90,0,unknown,13.0,no
29,technician,single,tertiary,no,5150.0,yes,no,cellular,1,-1,1,other,80.0,no
75,self-employed,single,secondary,no,-108.0,yes,no,cellular,3,180,1,success,124.0,no
66,services,single,tertiary,no,-401.0,yes,no,cellular,4,-1,0,success,258.0,no
57,self-employed,single,secondary,no,1541.0,yes,yes,cellular,3,-1,1,unknown,70.0,no
42,management,married,tertiary,no,4146.0,yes,no,cellular,5,-1,1,unknown,115.0,no
69,blue-collar,married,tertiary,yes,1722.0,no,no,cellular,5,-1,1,other,38.0,no
51,self-employed,single,secondary,no,1480.0,no,no,cellular,7,-1,0,unknown,121.0,no
45,admin.,married,primary,no,1704.0,yes,no,cellular,4,-1,0,unknown,66.0,no
45,admin.,divorced,tertiary,no,-408.0,no,no,cellular,3,365,0,unknown,624.0,yes
32,technician,married,primary,no,1723.0,yes,no,unknown,2,-1,1,unknown,282.0,no
23,admin.,married,secondary,no,693.0,no,no,unknown,4,-1,1,unknown,107.0,no
52,retired,married,secondary,no,3780.0,yes,yes,cellular,3,-1,0,unknown,62.0,no
73,self-employed,single,primary,no,2836.0,yes,no,cellular,1,30,0,unknown,174.0,no
21,blue-collar,married,tertiary,no,-500.0,no,yes,unknown,1,180,1,unknown,94.0,no
71,technician,single,secondary,no,890.0,yes,no,unknown,5,-1,1,unknown,218.0,no
69,blue-collar,married,tertiary,no,2350.0,yes,no,unknown,1,365,0,unknown,106.0,no
35,technician,married,secondary,no,-367.0,yes,no,cellular,3,-1,0,unknown,251.0,no
57,student,single,primary,no,-500.0,no,yes,cellular,2,-1,0,failure,206.0,no
28,blue-collar,married,primary,no,568.0,no,no,telephone,4,30,0,unknown,40.0,no
65,blue-collar,single,secondary,no,2020.0,yes,no,cellular,2,365,1,unknown,84.0,no
61,blue-collar,married,secondary,yes,3267.0,yes,no,cellular,5,-1,0,unknown,226.0,no
39,entrepreneur,married,secondary,no,1818.0,no,no,cellular,2,90,1,unknown,256.0,no
22,blue-collar,married,primary,no,5832.0,yes,no,cellular,2,-1,1,unknown,77.0,no
78,unemployed,divorced,tertiary,no,182.0,no,yes,cellular,4,120,2,failure,229.0,no
45,blue-collar,married,primary,no,2733.0,yes,yes,cellular,6,365,0,unknown,388.0,no
73,technician,married,secondary,no,-500.0,no,no,cellular,4,-1,0,unknown,258.0,no
60,blue-collar,single,tertiary,no,4300.0,yes,no,cellular,2,180,1,unknown,58.0,no
66,unemployed,divorced,secondary,no,3847.0,no,no,unknown,3,-1,0,unknown,134.0,no
65,blue-collar,single,secondary,no,2681.0,no,no,cellular,8,-1,0,unknown,122.0,no
30,housemaid,single,tertiary,no,-500.0,yes,no,cellular,4,-1,0,success,287.0,no
40,retired,married,secondary,no,2664.0,no,no,cellular,5,-1,0,unknown,100.0,no
46,blue-collar,married,primary,no,-74.0,no,no,cellular,3,-1,0,unknown,378.0,no
48,technician,single,primary,no,2217.0,yes,no,cellular,4,-1,0,unknown,47.0,no
20,blue-collar,single,tertiary,no,-500.0,no,no,unknown,3,-1,0,unknown,91.0,no
51,retired,single,secondary,no,1886.0,yes,no,telephone,2,365,0,unknown,146.0,no
27,retired,single,tertiary,no,764.0,yes,no,cellular,5,-1,0,unknown,229.0,no
64,self-employed,single,primary,no,-1.0,no,yes,unknown,2,-1,1,unknown,58.0,no
60,admin.,married,primary,no,2467.0,no,no,cellular,5,-1,1,unknown,308.0,no
75,blue-collar,married,tertiary,no,1308.0,yes,no,cellular,8,-1,1,other,125.0,no
64,blue-collar,divorced,tertiary,no,1031.0,no,no,cellular,3,-1,0,failure,65.0,no
40,blue-collar,married,primary,no,2727.0,no,no,cellular,2,-1,0,unknown,249.0,no
77,blue-collar,married,secondary,no,4827.0,yes,yes,cellular,2,-1,1,success,128.0,no
43,technician,married,tertiary,no,1896.0,yes,no,cellular,6,-1,0,other,84.0,no
38,management,single,secondary,no,-500.0,no,no,cellular,3,90,3,unknown,97.0,no
74,self-employed,single,secondary,no,-500.0,no,no,telephone,4,-1,0,failure,208.0,no
40,blue-collar,single,secondary,no,1524.0,yes,no,cellular,5,-1,0,unknown,160.0,no
22,blue-collar,married,tertiary,no,3248.0,yes,no,unknown,3,-1,0,other,62.0,no
47,management,married,secondary,no,1642.0,no,no,unknown,2,-1,0,success,63.0,no
67,blue-collar,married,secondary,no,2321.0,yes,no,cellular,2,60,1,unknown,510.0,yes
29,blue-collar,divorced,secondary,no,1294.0,yes,no,cellular,2,-1,0,unknown,72.0,no
46,management,married,primary,no,3132.0,no,no,cellular,4,-1,0,other,98.0,no
26,management,single,secondary,no,2510.0,yes,yes,cellular,4,-1,0,unknown,148.0,no
60,unemployed,married,secondary,no,-435.0,yes,no,unknown,4,30,0,failure,226.0,no
47,blue-collar,single,secondary,no,2206.0,yes,no,cellular,6,-1,0,unknown,375.0,no
38,management,married,secondary,no,-500.0,yes,no,cellular,3,-1,0,unknown,396.0,yes
32,blue-collar,single,primary,no,2206.0,no,no,telephone,5,-1,0,unknown,109.0,no
52,blue-collar,single,tertiary,no,891.0,yes,no,cellular,4,-1,0,unknown,780.0,yes
59,services,married,secondary,no,1689.0,no,no,cellular,5,-1,0,failure,177.0,no
76,blue-collar,married,secondary,no,1983.0,no,no,cellular,1,-1,1,unknown,220.0,no
45,retired,married,primary,no,1907.0,yes,no,cellular,5,365,0,unknown,203.0,no
27,housemaid,married,secondary,no,3951.0,yes,no,cellular,2,-1,1,unknown,312.0,no
69,admin.,single,tertiary,no,1461.0,no,no,cellular,1,60,3,failure,79.0,no
57,technician,married,secondary,no,1740.0,no,yes,cellular,2,365,0,failure,248.0,no
61,housemaid,single,tertiary,no,3794.0,yes,yes,cellular,3,-1,1,failure,210.0,no
24,technician,married,primary,no,4814.0,yes,no,unknown,4,-1,0,success,313.0,no
37,housemaid,single,tertiary,no,1368.0,yes,no,cellular,2,365,0,unknown,220.0,no
65,technician,married,secondary,no,478.0,no,no,unknown,5,-1,0,unknown,70.0,no
69,blue-collar,married,secondary,no,567.0,no,yes,cellular,3,-1,2,unknown,756.0,no
44,housemaid,married,secondary,no,2211.0,yes,no,cellular,2,-1,2,unknown,62.0,no
67,student,single,primary,no,1034.0,yes,no,unknown,2,365,0,unknown,433.0,no
70,blue-collar,married,secondary,no,-500.0,yes,no,cellular,5,-1,0,unknown,135.0,no
42,blue-collar,single,secondary,no,3421.0,yes,no,cellular,5,-1,0,failure,114.0,no
73,unemployed,married,tertiary,no,2868.0,no,no,unknown,3,-1,0,unknown,192.0,no
35,retired,divorced,tertiary,no,3464.0,no,yes,cellular,3,90,0,unknown,177.0,no
32,services,single,secondary,no,3819.0,no,no,unknown,2,-1,1,failure,133.0,no
60,services,single,secondary,no,1743.0,yes,no,cellular,4,-1,0,unknown,69.0,no
